headerdatestamp|headeridentifier|headersetSpec|metadata.oai_dc:dc.dc:format.0|metadata.oai_dc:dc.dc:format.1|metadata.oai_dc:dc.dc:identifier.0|metadata.oai_dc:dc.dc:identifier.1|metadata.oai_dc:dc.dc:subject.0|metadata.oai_dc:dc.dc:subject.1|metadata.oai_dc:dc@xmlns:dc|metadata.oai_dc:dc@xmlns:oai_dc|metadata.oai_dc:dc@xmlns:xsi|metadata.oai_dc:dc@xsi:schemaLocation|metadata.oai_dc:dcdc:contributor|metadata.oai_dc:dcdc:coverage|metadata.oai_dc:dcdc:creator|metadata.oai_dc:dcdc:date|metadata.oai_dc:dcdc:description|metadata.oai_dc:dcdc:format|metadata.oai_dc:dcdc:identifier|metadata.oai_dc:dcdc:language|metadata.oai_dc:dcdc:publisher|metadata.oai_dc:dcdc:rights|metadata.oai_dc:dcdc:source|metadata.oai_dc:dcdc:subject|metadata.oai_dc:dcdc:title|metadata.oai_dc:dcdc:type
2017-08-14|oai:collections.lib.utah.edu:uu_uap/716304|uu_uap|    |    |    |    |    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|    |    |Spens, Nathanial Irving, 1838-1916.|1891-05|"""The Kirk"" (33 5/8"" by 23 1/2"") painted for Joe Coates, donated to Springville Art Museum by Eva and Viv McQueary, restored by the Spens Family Heritage Organization, $700, Signed May 91 N.S."|image/jpeg|https://collections.lib.utah.edu/ark:/87278/s6t43swn|    |J. Willard Marriott Library, University of Utah|    |    |    |NSpensTheKirk|    
2017-06-29|oai:collections.lib.utah.edu:uu_uap/716302|uu_uap|    |    |    |    |    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|    |    |Spens, Nathanial Irving, 1838-1916.|    |"""The Challenge"" diemnsions unknown, owned and restored by Reo Lloyd, Mosco Idaho"|image/jpeg|https://collections.lib.utah.edu/ark:/87278/s62n523r|    |J. Willard Marriott Library, University of Utah|    |    |    |NSpensTheChallenge|    
2011-10-26|oai:collections.lib.utah.edu:uu_uap/716243|uu_uap|    |    |005-Rounds_Kirkland Temple.tif|https://collections.lib.utah.edu/ark:/87278/s6pn95fk|    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|    |    |Rounds, Al|    |    |image/jpeg|    |    |J. Willard Marriott Library, University of Utah|Digital Image Copyright University of Utah|    |    |005-Rounds_Kirkland Temple|Image/StillImage
2011-07-08|oai:collections.lib.utah.edu:uu_uap/716311|uu_uap|image/jpeg|"Acrylic on canvas, 30""x46"""|1.Attack on a Malted Milkball Factory|https://collections.lib.utah.edu/ark:/87278/s6ww7hgp|    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|    |    |Fawson, Steven J.|1974|    |    |    |    |    |    |    |    |Attack on a Malted Milkball Factory|    
2011-07-08|oai:collections.lib.utah.edu:uu_uap/716312|uu_uap|image/jpeg|"oil on canvas, 20""x30"""|10.Fanned|https://collections.lib.utah.edu/ark:/87278/s6s46rr8|    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|    |    |Fawson, Steven J.|1977|    |    |    |    |    |    |    |    |Fanned|    
2011-07-08|oai:collections.lib.utah.edu:uu_uap/716313|uu_uap|image/jpeg|"oil on canvas, 40""x84"""|14. Ah...The Blue|https://collections.lib.utah.edu/ark:/87278/s6nc611b|    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|    |    |Fawson, Steven J.|1980|    |    |    |    |    |    |    |    |Ah...The Blue|    
2011-07-08|oai:collections.lib.utah.edu:uu_uap/716314|uu_uap|image/jpeg|"oil on canvas, 48""x44"""|12.O Childhood...|https://collections.lib.utah.edu/ark:/87278/s6hq3zp3|    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|    |    |Fawson, Steven J.|1978|    |    |    |    |    |    |    |    |"""O Childhood, o images slipping from us"""|    
2011-07-08|oai:collections.lib.utah.edu:uu_uap/716315|uu_uap|image/jpeg|"oil on canvas, 16""x20"""|15.Sea Shells III|https://collections.lib.utah.edu/ark:/87278/s6cz36zr|    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|    |    |Fawson, Steven J.|1981|    |    |    |    |    |    |    |    |Sea Shells III|    
2011-07-08|oai:collections.lib.utah.edu:uu_uap/716316|uu_uap|image/jpeg|"36""x72"""|13.Mary Van Winkle|https://collections.lib.utah.edu/ark:/87278/s6862g86|    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|    |    |Fawson, Steven J.|1979|    |    |    |    |    |    |    |    |Portrait of Mary Van Winkle|    
2011-07-08|oai:collections.lib.utah.edu:uu_uap/716317|uu_uap|image/jpeg|"oil on canvas, 32""x46"""|11.Simone|https://collections.lib.utah.edu/ark:/87278/s64f1qjg|    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|    |    |Fawson, Steven J.|1977|    |    |    |    |    |    |    |    |Simone Simonian|    
2011-07-08|oai:collections.lib.utah.edu:uu_uap/716318|uu_uap|image/jpeg|"oil on canvas, 42""x60"""|16. Suzanne Erlon|https://collections.lib.utah.edu/ark:/87278/s60p0ztr|    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|    |    |Fawson, Steven J.|1981|    |    |    |    |    |    |    |    |Suzanne Erlon|    
2011-07-08|oai:collections.lib.utah.edu:uu_uap/716319|uu_uap|image/jpeg|"oil on canvas, 22""x26"""|17.Portrait of Dominique Deschamps|https://collections.lib.utah.edu/ark:/87278/s6vx0g9d|    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|    |    |Fawson, Steven J.|1981|    |    |    |    |    |    |    |    |Portrait of Dominique Deschamps|    
2011-07-08|oai:collections.lib.utah.edu:uu_uap/716320|uu_uap|image/jpeg|"oil on canvas, 40""x60"""|18.Kathleen Julian|https://collections.lib.utah.edu/ark:/87278/s6r49qkf|    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|    |    |Fawson, Steven J.|1981|    |    |    |    |    |    |    |    |Kathleen Julian (unfinished state)|    
2011-07-08|oai:collections.lib.utah.edu:uu_uap/716321|uu_uap|image/jpeg|"oil on canvas, 16""x22"""|19.Spring's Broken|https://collections.lib.utah.edu/ark:/87278/s6mg7p9w|    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|    |    |Fawson, Steven J.|1982|    |    |    |    |    |    |    |    |Spring's Broken|    
2011-07-08|oai:collections.lib.utah.edu:uu_uap/716322|uu_uap|image/jpeg|"acrylic on canvas, 38""x44"""|    |    |    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|    |    |Fawson, Steven J.|1974|    |    |https://collections.lib.utah.edu/ark:/87278/s6gq6xk5|    |    |    |    |    |2.Landing|    
2011-07-08|oai:collections.lib.utah.edu:uu_uap/716323|uu_uap|image/jpeg|"oil on canvas, 66""x66"""|23.Weeping walls|https://collections.lib.utah.edu/ark:/87278/s6bz65vt|    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|    |    |Fawson, Steven J.|1985|    |    |    |    |    |    |    |    |Weeping walls|    
2011-07-08|oai:collections.lib.utah.edu:uu_uap/716324|uu_uap|image/jpeg|"pastels on paper, 18""x22"""|24. Lisa Blackwell pastel|https://collections.lib.utah.edu/ark:/87278/s6765f4t|    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|    |    |Fawson, Steven J.|1985|    |    |    |    |    |    |    |    |Portrait of Lisa Blackwell|    
2011-07-08|oai:collections.lib.utah.edu:uu_uap/716325|uu_uap|image/jpeg|"oil on canvas, 60""x66"""|25. Giro dItaia|https://collections.lib.utah.edu/ark:/87278/s63f4pfj|    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|    |    |Fawson, Steven J.|1987|    |    |    |    |    |    |    |    |Giro d'Itaia: The Lost Cyclist|    
2011-07-08|oai:collections.lib.utah.edu:uu_uap/716326|uu_uap|image/jpeg|"oil on canvas, 50""x60"""|20.kimono In Warm and Cool Air|https://collections.lib.utah.edu/ark:/87278/s6zp45xs|    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|    |    |Fawson, Steven J.|1983|    |    |    |    |    |    |    |    |Kimono In Warm and Cool Air|    
2011-07-08|oai:collections.lib.utah.edu:uu_uap/716327|uu_uap|image/jpeg|"oil on canvas, 35""x60"""|26. Jody Plant|https://collections.lib.utah.edu/ark:/87278/s6tx3f6g|    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|    |    |Fawson, Steven J.|1987|    |    |    |    |    |    |    |    |Portrait of Jody Plant|    
2011-07-08|oai:collections.lib.utah.edu:uu_uap/716328|uu_uap|image/jpeg|"pastels on paper, 28""x46"""|27. Medicci Nude|https://collections.lib.utah.edu/ark:/87278/s6q81cwc|    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|    |    |Fawson, Steven J.|1987|    |    |    |    |    |    |    |    |Medicci Nude|    
2011-07-08|oai:collections.lib.utah.edu:uu_uap/716329|uu_uap|image/jpeg|"oil on canvas, 36""x45"""|28.PORTRAIT of Shawn|https://collections.lib.utah.edu/ark:/87278/s6kh0n52|    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|    |    |Fawson, Steven J.|1987|    |    |    |    |    |    |    |    |Portrait of Shawn|    
2011-07-08|oai:collections.lib.utah.edu:uu_uap/716330|uu_uap|image/jpeg|"oil on canvas, 50""x56"""|29.The Reluctant Angel|https://collections.lib.utah.edu/ark:/87278/s6fq9wfs|    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|    |    |Fawson, Steven J.|1989|    |    |    |    |    |    |    |    |The Reluctant Angel|    
2011-07-08|oai:collections.lib.utah.edu:uu_uap/716331|uu_uap|image/jpeg|"oil on canvas, 30""x40"""|3.Self Portrait w- Mother Eve|https://collections.lib.utah.edu/ark:/87278/s69z94qf|    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|    |    |Fawson, Steven J.|1976|    |    |    |    |    |    |    |    |Self Portrait with Mother Eve|    
2011-07-08|oai:collections.lib.utah.edu:uu_uap/716332|uu_uap|image/jpeg|"oil on canvas, 40""x88"""|21.Prelude to the Death of Beauty|https://collections.lib.utah.edu/ark:/87278/s6668d0f|    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|    |    |Fawson, Steven J.|1984|    |    |    |    |    |    |    |    |Prelude to the Death of Beauty|    
2011-07-08|oai:collections.lib.utah.edu:uu_uap/716333|uu_uap|image/jpeg|"oil on canvas, 14""x20"""|22.An Autumn Wind|https://collections.lib.utah.edu/ark:/87278/s62f7n78|    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|    |    |Fawson, Steven J.|1984|    |    |    |    |    |    |    |    |An Autumn Wind|    
2011-07-08|oai:collections.lib.utah.edu:uu_uap/716334|uu_uap|image/jpeg|"oil on canvas, 36""x40"""|31.Man w_ a cigarette|https://collections.lib.utah.edu/ark:/87278/s6xp74rz|    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|    |    |Fawson, Steven J.|2001|    |    |    |    |    |    |    |    |Man with A Cigarette (Horea)|    
2011-07-08|oai:collections.lib.utah.edu:uu_uap/716335|uu_uap|image/jpeg|"oil on canvas, 30""x37"""|32.Self Portrait- I Unravel|https://collections.lib.utah.edu/ark:/87278/s6t153f8|    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|    |    |Fawson, Steven J.|2008|    |    |    |    |    |    |    |    |"Self Portrait: ""I, unravel"""|    
2011-07-08|oai:collections.lib.utah.edu:uu_uap/716336|uu_uap|image/jpeg|"oil on canvas, 24""x18"""|4.Self Portrait With White Hat|https://collections.lib.utah.edu/ark:/87278/s6p84bqj|    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|    |    |Fawson, Steven J.|1977|    |    |    |    |    |    |    |    |Self Portrait With White Hat|    
2011-07-08|oai:collections.lib.utah.edu:uu_uap/716337|uu_uap|image/jpeg|"oil on canvas, 15""x20"""|5.Still Life glove|https://collections.lib.utah.edu/ark:/87278/s6jh3m07|    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|    |    |Fawson, Steven J.|1977|    |    |    |    |    |    |    |    |Still Life with Glove|    
2011-07-08|oai:collections.lib.utah.edu:uu_uap/716338|uu_uap|image/jpeg|"oil on panel, 15""x20"""|6.Still Life with Necklace|https://collections.lib.utah.edu/ark:/87278/s6dr2v9z|    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|    |    |Fawson, Steven J.|1977|    |    |    |    |    |    |    |    |Still Life with Necklace|    
2011-07-08|oai:collections.lib.utah.edu:uu_uap/716339|uu_uap|image/jpeg|"oil on canvas, 26""x24"""|7.Dark Incense|https://collections.lib.utah.edu/ark:/87278/s69023kx|    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|    |    |Fawson, Steven J.|1977|    |    |    |    |    |    |    |    |Dark Incense|    
2011-07-08|oai:collections.lib.utah.edu:uu_uap/716340|uu_uap|image/jpeg|"oil on canvas, 28""x20"""|8.Dragons&Dragonflies|https://collections.lib.utah.edu/ark:/87278/s6571bs9|    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|    |    |Fawson, Steven J.|1977|    |    |    |    |    |    |    |    |Dragons and Dragonflies|    
2011-07-08|oai:collections.lib.utah.edu:uu_uap/716341|uu_uap|image/jpeg|"oil on canvas, 18""x24"""|9.Radiant With Deep Mourning|https://collections.lib.utah.edu/ark:/87278/s61g0m20|    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|    |    |Fawson, Steven J.|1977|    |    |    |    |    |    |    |    |"""Radiant With Deep Mourning"""|    
2011-07-08|oai:collections.lib.utah.edu:uu_uap/716342|uu_uap|image/jpeg|"pastels on paper, 28""x46"""|30. Sunset over Thurso|https://collections.lib.utah.edu/ark:/87278/s6ws8t2c|    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|    |    |Fawson, Steven J.|1989|    |    |    |    |    |    |    |    |Sunset over Thurso|    
2010-01-20|oai:collections.lib.utah.edu:uu_uap/716278|uu_uap|    |    |    |    |    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|    |    |Spens, Nathanial Irving, 1838-1916.|    |"""A Mountain Scene"" (17""x26"") Donated by Bertha's children, restored by Spens Family Heritage Organization $350, has aluminum backing, donated to the LDS Church History Museum."|image/jpeg|https://collections.lib.utah.edu/ark:/87278/s65h7g14|    |J. Willard Marriott Library, University of Utah|    |    |    |NSpensAMountainScene|    
2010-01-20|oai:collections.lib.utah.edu:uu_uap/716279|uu_uap|    |    |    |    |    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|    |    |Spens, Nathanial Irving, 1838-1916.|    |"""A Cavalier and the Poor Man"" (10""x12"" slightly uneven), painted on cardboard, torn in half, restored, $400.00. owned by the Reta Briggs Family."|image/jpeg|https://collections.lib.utah.edu/ark:/87278/s61r6q9d|    |J. Willard Marriott Library, University of Utah|    |    |    |NSpensACavalierAndThePoorMan|    
2010-01-20|oai:collections.lib.utah.edu:uu_uap/716280|uu_uap|    |    |    |    |    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|    |    |Spens, Nathanial Irving, 1838-1916.|1885|"""Canyon Retreat"" 1885 (34.5""x24"") oil on canvas, owned by Mark Peterson, depicts an open-walled mountain cabin near a rushing river with a man fishing. Signed N. Spens"|image/jpeg|https://collections.lib.utah.edu/ark:/87278/s6x34x86|    |J. Willard Marriott Library, University of Utah|    |    |    |NSpensCanyonRetreat|    
2010-01-20|oai:collections.lib.utah.edu:uu_uap/716281|uu_uap|    |    |    |    |    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|    |    |Spens, Nathanial Irving, 1838-1916.|    |Cossak Battle Bunnside|image/jpeg|https://collections.lib.utah.edu/ark:/87278/s6sb45k9|    |J. Willard Marriott Library, University of Utah|    |    |    |NSpenscossakbattle|    
2010-01-20|oai:collections.lib.utah.edu:uu_uap/716282|uu_uap|    |    |    |    |    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|    |    |Spens, Nathanial Irving, 1838-1916.|    |"""Elk in American Folk Canyon"" (12""x16"") oil on canvas, purchased from David Ericson at Gallery 56 for $2000. David purchased painting from Jim Henderson, original title is not know."|image/jpeg|https://collections.lib.utah.edu/ark:/87278/s6nk3dvk|    |J. Willard Marriott Library, University of Utah|    |    |    |NSpensElkInAmericanForkCanyon|    
2010-01-20|oai:collections.lib.utah.edu:uu_uap/716283|uu_uap|    |    |    |    |    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|    |    |Spens, Nathanial Irving, 1838-1916.|    |"""Embarkation from Scotland,"" secured for the Springville Art Museum by Wesley Burnside."|image/jpeg|https://collections.lib.utah.edu/ark:/87278/s6ht2p48|    |J. Willard Marriott Library, University of Utah|    |    |    |NSpensEmbarkationFromScotland|    
2010-01-20|oai:collections.lib.utah.edu:uu_uap/716284|uu_uap|    |    |    |    |    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|    |    |Spens, Nathanial Irving, 1838-1916.|    |"""A Highlander Bids His Mother Farewell,"" (11.66""x16""), restored, $200, Sandi and Paul Crookston"|image/jpeg|https://collections.lib.utah.edu/ark:/87278/s6d21xdv|    |J. Willard Marriott Library, University of Utah|    |    |    |NSpenshighlanderfarewell|    
2010-01-20|oai:collections.lib.utah.edu:uu_uap/716285|uu_uap|    |    |    |    |    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|    |    |Spens, Nathanial Irving, 1838-1916.|    |Horse in Battle Fairell Spem|image/jpeg|https://collections.lib.utah.edu/ark:/87278/s68915n2|    |J. Willard Marriott Library, University of Utah|    |    |    |NSpensHorseInBattle|    
2010-01-20|oai:collections.lib.utah.edu:uu_uap/716286|uu_uap|    |    |    |    |    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|    |    |Spens, Nathanial Irving, 1838-1916.|    |"""Indian Sentinel"" (15.5""x20.25"") ,restored, $350, aluminum panel for support, Dorothy and Arlan Preater, Unfinished painting with neither a signature nor a date ""by Grandpa Nathaniel Spens"" written on bottom of canvas"|image/jpeg|https://collections.lib.utah.edu/ark:/87278/s64j0dxb|    |J. Willard Marriott Library, University of Utah|    |    |    |NSpensIndianSentinel|    
2010-01-20|oai:collections.lib.utah.edu:uu_uap/716287|uu_uap|    |    |    |    |    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|    |    |Spens, Nathanial Irving, 1838-1916.|    |"""Jacques and Jenny Making Hay"" (    ""x   "" oil on canvas), this is one of Nathaniel's larger works, unsigned, Trent Alvey"|image/jpeg|https://collections.lib.utah.edu/ark:/87278/s60v8ckb|    |J. Willard Marriott Library, University of Utah|    |    |    |NSpensJacquesandJennymakinghay|    
2010-01-20|oai:collections.lib.utah.edu:uu_uap/716288|uu_uap|    |    |    |    |    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|    |    |Spens, Nathanial Irving, 1838-1916.|    |"""Lake Hotel"" (11.25""x16.5"" oil on canvas) , restored, $200, Zola Rasmussen, on back of painting is written, Bottom, Germany. Could that be Baden?"|image/jpeg|https://collections.lib.utah.edu/ark:/87278/s6w37w4t|    |J. Willard Marriott Library, University of Utah|    |    |    |NSpensLakeHotel|    
